Tick 1 0_6 attacks 1_9 with 49100, killing 3 units
0_8 attacks 1_0 with 43296, killing 0 units
1_4 attacks 0_8 with 5040, killing 0 units
0_1 attacks 1_7 with 106064, killing 3 units
1_5 attacks 0_9 with 161760, killing 22 units
0_3 attacks 1_2 with 146320, killing 5 units
0_9 attacks 1_9 with 29760, killing 1 units
1_3 attacks 0_4 with 70511, killing 7 units
1_9 attacks 0_0 with 26460, killing 2 units
0_2 attacks 1_1 with 46640, killing 0 units
1_7 attacks 0_6 with 49708, killing 7 units
0_0 attacks 1_4 with 151800, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_7 with 154890, killing 16 units
Tick 1110_6 attacks 1_5 with 87240, killing 1 units
0_7 attacks 1_8 with 3600, killing 0 units
1_8 attacks 0_6 with 20748, killing 3 units
1_1 attacks 0_2 with 184008, killing 20 units
0_4 attacks 1_3 with 151632, killing 3 units
0_8 attacks 1_0 with 43296, killing 0 units
1_4 attacks 0_8 with 4824, killing 0 units
0_1 attacks 1_7 with 106064, killing 3 units
1_5 attacks 0_9 with 161700, killing 22 units
0_3 attacks 1_2 with 145960, killing 5 units
0_9 attacks 1_9 with 29408, killing 1 units
1_3 attacks 0_0 with 70364, killing 7 units
1_9 attacks 0_1 with 26445, killing 3 units
0_2 attacks 1_1 with 46480, killing 0 units
1_7 attacks 0_4 with 49606, killing 5 units
0_0 attacks 1_4 with 151338, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_7 with 154890, killing 16 units
Tick 1120_6 attacks 1_5 with 87120, killing 1 units
0_7 attacks 1_8 with 2832, killing 0 units
1_8 attacks 0_1 with 20748, killing 2 units
1_1 attacks 0_2 with 184008, killing 20 units
0_4 attacks 1_3 with 151372, killing 3 units
0_8 attacks 1_0 with 43296, killing 0 units
1_4 attacks 0_8 with 4608, killing 0 units
0_1 attacks 1_7 with 105984, killing 3 units
1_5 attacks 0_9 with 161640, killing 22 units
0_3 attacks 1_2 with 145600, killing 5 units
0_9 attacks 1_9 with 29056, killing 1 units
1_3 attacks 0_4 with 70217, killing 7 units
1_9 attacks 0_0 with 26430, killing 2 units
0_2 attacks 1_1 with 46320, killing 0 units
1_7 attacks 0_6 with 49504, killing 7 units
0_0 attacks 1_4 with 151206, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_7 with 154890, killing 16 units
Tick 1130_6 attacks 1_5 with 86840, killing 1 units
0_7 attacks 1_8 with 2064, killing 0 units
1_8 attacks 0_6 with 20748, killing 3 units
1_1 attacks 0_2 with 184008, killing 20 units
0_4 attacks 1_3 with 151008, killing 3 units
0_8 attacks 1_0 with 43296, killing 0 units
1_4 attacks 0_8 with 4392, killing 0 units
0_1 attacks 1_7 with 105984, killing 3 units
1_5 attacks 0_9 with 161580, killing 22 units
0_3 attacks 1_2 with 145240, killing 5 units
0_9 attacks 1_9 with 28704, killing 1 units
1_3 attacks 0_0 with 70070, killing 7 units
1_9 attacks 0_1 with 26415, killing 3 units
0_2 attacks 1_1 with 46160, killing 0 units
1_7 attacks 0_4 with 49402, killing 5 units
0_0 attacks 1_4 with 150744, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_7 with 154890, killing 16 units
Tick 1140_6 attacks 1_5 with 86720, killing 1 units
0_7 attacks 1_8 with 1296, killing 0 units
1_8 attacks 0_1 with 20748, killing 2 units
1_1 attacks 0_2 with 184008, killing 20 units
0_4 attacks 1_3 with 150748, killing 3 units
0_8 attacks 1_0 with 43296, killing 0 units
1_4 attacks 0_8 with 4176, killing 0 units
0_1 attacks 1_7 with 105904, killing 3 units
1_5 attacks 0_9 with 161520, killing 22 units
0_3 attacks 1_2 with 144880, killing 5 units
0_9 attacks 1_9 with 28352, killing 1 units
1_3 attacks 0_4 with 69923, killing 7 units
1_9 attacks 0_0 with 26400, killing 2 units
0_2 attacks 1_1 with 46000, killing 0 units
1_7 attacks 0_6 with 49300, killing 7 units
0_0 attacks 1_4 with 150612, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_7 with 154890, killing 16 units
Tick 1150_6 attacks 1_5 with 86440, killing 1 units
0_7 attacks 1_8 with 528, killing 0 units
1_8 attacks 0_8 with 20748, killing 1 units
1_1 attacks 0_2 with 184008, killing 20 units
0_4 attacks 1_3 with 150384, killing 3 units
0_8 attacks 1_0 with 42968, killing 0 units
1_4 attacks 0_6 with 3960, killing 0 units
0_1 attacks 1_7 with 105904, killing 3 units
1_5 attacks 0_9 with 161460, killing 22 units
0_3 attacks 1_2 with 144520, killing 5 units
0_9 attacks 1_9 with 28000, killing 1 units
1_3 attacks 0_0 with 69776, killing 7 units
1_9 attacks 0_1 with 26385, killing 3 units
0_2 attacks 1_1 with 45840, killing 0 units
1_7 attacks 0_4 with 49198, killing 5 units
0_0 attacks 1_4 with 150150, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_7 with 154890, killing 16 units
Tick 1160_6 attacks 1_5 with 86440, killing 1 units
1_8 attacks 0_8 with 20748, killing 1 units
1_1 attacks 0_2 with 184008, killing 20 units
0_4 attacks 1_3 with 150124, killing 3 units
0_8 attacks 1_0 with 42640, killing 0 units
0_1 attacks 1_7 with 105856, killing 3 units
1_5 attacks 0_9 with 161400, killing 22 units
0_3 attacks 1_2 with 144160, killing 5 units
0_9 attacks 1_9 with 27648, killing 1 units
1_3 attacks 0_0 with 69629, killing 7 units
1_9 attacks 0_1 with 26370, killing 3 units
0_2 attacks 1_1 with 45680, killing 0 units
1_7 attacks 0_6 with 49096, killing 7 units
0_0 attacks 1_4 with 149688, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1170_6 attacks 1_5 with 86160, killing 1 units
1_8 attacks 0_8 with 20748, killing 1 units
1_1 attacks 0_2 with 184008, killing 20 units
0_4 attacks 1_3 with 149708, killing 3 units
0_8 attacks 1_0 with 42312, killing 0 units
0_1 attacks 1_7 with 105808, killing 3 units
1_5 attacks 0_9 with 161340, killing 22 units
0_3 attacks 1_2 with 143800, killing 5 units
0_9 attacks 1_9 with 27296, killing 1 units
1_3 attacks 0_0 with 69482, killing 7 units
1_9 attacks 0_1 with 26355, killing 3 units
0_2 attacks 1_1 with 45520, killing 0 units
1_7 attacks 0_6 with 48994, killing 7 units
0_0 attacks 1_4 with 149226, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1180_6 attacks 1_5 with 85880, killing 1 units
1_8 attacks 0_8 with 20748, killing 1 units
1_1 attacks 0_2 with 184008, killing 20 units
0_4 attacks 1_3 with 149292, killing 3 units
0_8 attacks 1_0 with 41984, killing 0 units
0_1 attacks 1_7 with 105760, killing 3 units
1_5 attacks 0_9 with 161280, killing 22 units
0_3 attacks 1_2 with 143440, killing 5 units
0_9 attacks 1_9 with 26944, killing 1 units
1_3 attacks 0_0 with 69335, killing 7 units
1_9 attacks 0_1 with 26340, killing 3 units
0_2 attacks 1_1 with 45360, killing 0 units
1_7 attacks 0_6 with 48892, killing 7 units
0_0 attacks 1_4 with 148764, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1190_6 attacks 1_5 with 85600, killing 1 units
1_8 attacks 0_8 with 20748, killing 1 units
1_1 attacks 0_2 with 184008, killing 20 units
0_4 attacks 1_3 with 148876, killing 3 units
0_8 attacks 1_0 with 41656, killing 0 units
0_1 attacks 1_7 with 105712, killing 3 units
1_5 attacks 0_9 with 161220, killing 22 units
0_3 attacks 1_2 with 143080, killing 5 units
0_9 attacks 1_9 with 26592, killing 1 units
1_3 attacks 0_0 with 69188, killing 7 units
1_9 attacks 0_1 with 26325, killing 3 units
0_2 attacks 1_1 with 45200, killing 0 units
1_7 attacks 0_6 with 48790, killing 7 units
0_0 attacks 1_4 with 148302, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1200_6 attacks 1_5 with 85320, killing 1 units
1_8 attacks 0_8 with 20748, killing 1 units
1_1 attacks 0_2 with 184008, killing 20 units
0_4 attacks 1_3 with 148460, killing 3 units
0_8 attacks 1_9 with 41328, killing 2 units
0_1 attacks 1_7 with 105664, killing 3 units
1_5 attacks 0_9 with 161160, killing 22 units
0_3 attacks 1_1 with 71360, killing 1 units
0_9 attacks 1_8 with 26240, killing 1 units
1_3 attacks 0_0 with 69041, killing 7 units
1_9 attacks 0_1 with 26295, killing 3 units
0_2 attacks 1_0 with 45040, killing 0 units
1_7 attacks 0_6 with 48688, killing 7 units
0_0 attacks 1_4 with 147840, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1210_6 attacks 1_5 with 85040, killing 1 units
1_8 attacks 0_8 with 20744, killing 1 units
1_1 attacks 0_2 with 183964, killing 20 units
0_4 attacks 1_3 with 148044, killing 3 units
0_8 attacks 1_9 with 41000, killing 2 units
0_1 attacks 1_7 with 105616, killing 3 units
1_5 attacks 0_9 with 161100, killing 22 units
0_3 attacks 1_1 with 71180, killing 1 units
0_9 attacks 1_8 with 25888, killing 1 units
1_3 attacks 0_0 with 68894, killing 7 units
1_9 attacks 0_1 with 26265, killing 3 units
0_2 attacks 1_0 with 44880, killing 0 units
1_7 attacks 0_6 with 48586, killing 7 units
0_0 attacks 1_4 with 147378, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1220_6 attacks 1_5 with 84760, killing 1 units
1_8 attacks 0_8 with 20740, killing 1 units
1_1 attacks 0_2 with 183920, killing 20 units
0_4 attacks 1_3 with 147628, killing 3 units
0_8 attacks 1_9 with 40672, killing 2 units
0_1 attacks 1_7 with 105568, killing 3 units
1_5 attacks 0_9 with 161040, killing 22 units
0_3 attacks 1_1 with 71000, killing 1 units
0_9 attacks 1_8 with 25536, killing 1 units
1_3 attacks 0_0 with 68747, killing 7 units
1_9 attacks 0_1 with 26235, killing 3 units
0_2 attacks 1_0 with 44720, killing 0 units
1_7 attacks 0_6 with 48484, killing 7 units
0_0 attacks 1_4 with 146916, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1230_6 attacks 1_5 with 84480, killing 1 units
1_8 attacks 0_8 with 20736, killing 1 units
1_1 attacks 0_2 with 183876, killing 20 units
0_4 attacks 1_3 with 147212, killing 3 units
0_8 attacks 1_9 with 40344, killing 2 units
0_1 attacks 1_7 with 105520, killing 3 units
1_5 attacks 0_9 with 160980, killing 22 units
0_3 attacks 1_1 with 70820, killing 1 units
0_9 attacks 1_8 with 25184, killing 1 units
1_3 attacks 0_0 with 68600, killing 7 units
1_9 attacks 0_1 with 26205, killing 3 units
0_2 attacks 1_0 with 44560, killing 0 units
1_7 attacks 0_6 with 48382, killing 7 units
0_0 attacks 1_4 with 146454, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1240_6 attacks 1_5 with 84200, killing 1 units
1_8 attacks 0_8 with 20732, killing 1 units
1_1 attacks 0_2 with 183832, killing 20 units
0_4 attacks 1_3 with 146796, killing 3 units
0_8 attacks 1_9 with 40016, killing 2 units
0_1 attacks 1_7 with 105472, killing 3 units
1_5 attacks 0_9 with 160920, killing 22 units
0_3 attacks 1_1 with 70640, killing 1 units
0_9 attacks 1_8 with 24832, killing 1 units
1_3 attacks 0_0 with 68453, killing 7 units
1_9 attacks 0_1 with 26175, killing 3 units
0_2 attacks 1_0 with 44400, killing 0 units
1_7 attacks 0_6 with 48280, killing 7 units
0_0 attacks 1_4 with 145992, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1250_6 attacks 1_5 with 83920, killing 1 units
1_8 attacks 0_8 with 20728, killing 1 units
1_1 attacks 0_2 with 183788, killing 20 units
0_4 attacks 1_3 with 146380, killing 3 units
0_8 attacks 1_9 with 39688, killing 2 units
0_1 attacks 1_7 with 105424, killing 3 units
1_5 attacks 0_9 with 160860, killing 22 units
0_3 attacks 1_1 with 70460, killing 1 units
0_9 attacks 1_8 with 24480, killing 1 units
1_3 attacks 0_0 with 68306, killing 7 units
1_9 attacks 0_1 with 26145, killing 3 units
0_2 attacks 1_0 with 44240, killing 0 units
1_7 attacks 0_6 with 48178, killing 7 units
0_0 attacks 1_4 with 145530, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1260_6 attacks 1_5 with 83640, killing 1 units
1_8 attacks 0_8 with 20724, killing 1 units
1_1 attacks 0_2 with 183744, killing 20 units
0_4 attacks 1_3 with 145964, killing 3 units
0_8 attacks 1_9 with 39360, killing 2 units
0_1 attacks 1_7 with 105376, killing 3 units
1_5 attacks 0_9 with 160800, killing 22 units
0_3 attacks 1_1 with 70280, killing 1 units
0_9 attacks 1_8 with 24128, killing 1 units
1_3 attacks 0_0 with 68159, killing 7 units
1_9 attacks 0_1 with 26115, killing 3 units
0_2 attacks 1_0 with 44080, killing 0 units
1_7 attacks 0_6 with 48076, killing 7 units
0_0 attacks 1_4 with 145068, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1270_6 attacks 1_5 with 83360, killing 1 units
1_8 attacks 0_8 with 20720, killing 1 units
1_1 attacks 0_2 with 183700, killing 20 units
0_4 attacks 1_3 with 145548, killing 3 units
0_8 attacks 1_9 with 39032, killing 2 units
0_1 attacks 1_7 with 105328, killing 3 units
1_5 attacks 0_9 with 160740, killing 22 units
0_3 attacks 1_1 with 70100, killing 1 units
0_9 attacks 1_8 with 23776, killing 1 units
1_3 attacks 0_0 with 68012, killing 7 units
1_9 attacks 0_1 with 26085, killing 3 units
0_2 attacks 1_0 with 43920, killing 0 units
1_7 attacks 0_6 with 47974, killing 7 units
0_0 attacks 1_4 with 144606, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1280_6 attacks 1_5 with 83080, killing 1 units
1_8 attacks 0_8 with 20716, killing 1 units
1_1 attacks 0_2 with 183656, killing 20 units
0_4 attacks 1_3 with 145132, killing 3 units
0_8 attacks 1_9 with 38704, killing 2 units
0_1 attacks 1_7 with 105280, killing 3 units
1_5 attacks 0_9 with 160680, killing 22 units
0_3 attacks 1_1 with 69920, killing 1 units
0_9 attacks 1_8 with 23424, killing 1 units
1_3 attacks 0_0 with 67865, killing 7 units
1_9 attacks 0_1 with 26055, killing 3 units
0_2 attacks 1_0 with 43760, killing 0 units
1_7 attacks 0_6 with 47872, killing 7 units
0_0 attacks 1_4 with 144144, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1290_6 attacks 1_5 with 82800, killing 1 units
1_8 attacks 0_8 with 20712, killing 1 units
1_1 attacks 0_2 with 183612, killing 20 units
0_4 attacks 1_3 with 144716, killing 3 units
0_8 attacks 1_9 with 38376, killing 2 units
0_1 attacks 1_7 with 105232, killing 3 units
1_5 attacks 0_9 with 160620, killing 22 units
0_3 attacks 1_1 with 69740, killing 1 units
0_9 attacks 1_8 with 23072, killing 1 units
1_3 attacks 0_0 with 67718, killing 7 units
1_9 attacks 0_1 with 26025, killing 3 units
0_2 attacks 1_0 with 43600, killing 0 units
1_7 attacks 0_6 with 47770, killing 7 units
0_0 attacks 1_4 with 143682, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1300_6 attacks 1_5 with 82520, killing 1 units
1_8 attacks 0_8 with 20708, killing 1 units
1_1 attacks 0_2 with 183568, killing 20 units
0_4 attacks 1_3 with 144300, killing 3 units
0_8 attacks 1_9 with 38048, killing 2 units
0_1 attacks 1_7 with 105184, killing 3 units
1_5 attacks 0_9 with 160560, killing 22 units
0_3 attacks 1_1 with 69560, killing 1 units
0_9 attacks 1_8 with 22720, killing 1 units
1_3 attacks 0_0 with 67571, killing 7 units
1_9 attacks 0_1 with 25995, killing 3 units
0_2 attacks 1_0 with 43440, killing 0 units
1_7 attacks 0_6 with 47668, killing 7 units
0_0 attacks 1_4 with 143220, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1310_6 attacks 1_5 with 82240, killing 1 units
1_8 attacks 0_8 with 20704, killing 1 units
1_1 attacks 0_2 with 183524, killing 20 units
0_4 attacks 1_3 with 143884, killing 3 units
0_8 attacks 1_9 with 37720, killing 2 units
0_1 attacks 1_7 with 105136, killing 3 units
1_5 attacks 0_9 with 160500, killing 22 units
0_3 attacks 1_1 with 69380, killing 1 units
0_9 attacks 1_8 with 22368, killing 1 units
1_3 attacks 0_0 with 67424, killing 7 units
1_9 attacks 0_1 with 25965, killing 3 units
0_2 attacks 1_0 with 43280, killing 0 units
1_7 attacks 0_6 with 47566, killing 7 units
0_0 attacks 1_4 with 142758, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1320_6 attacks 1_5 with 81960, killing 1 units
1_8 attacks 0_8 with 20700, killing 1 units
1_1 attacks 0_2 with 183480, killing 20 units
0_4 attacks 1_3 with 143468, killing 3 units
0_8 attacks 1_9 with 37392, killing 2 units
0_1 attacks 1_7 with 105088, killing 3 units
1_5 attacks 0_9 with 160440, killing 22 units
0_3 attacks 1_1 with 69200, killing 1 units
0_9 attacks 1_8 with 22016, killing 1 units
1_3 attacks 0_0 with 67277, killing 6 units
1_9 attacks 0_1 with 25935, killing 3 units
0_2 attacks 1_0 with 43120, killing 0 units
1_7 attacks 0_6 with 47464, killing 7 units
0_0 attacks 1_4 with 142362, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1330_6 attacks 1_5 with 81680, killing 1 units
1_8 attacks 0_8 with 20696, killing 1 units
1_1 attacks 0_2 with 183436, killing 20 units
0_4 attacks 1_3 with 143052, killing 3 units
0_8 attacks 1_9 with 37064, killing 2 units
0_1 attacks 1_7 with 105040, killing 3 units
1_5 attacks 0_9 with 160380, killing 22 units
0_3 attacks 1_1 with 69020, killing 1 units
0_9 attacks 1_8 with 21664, killing 1 units
1_3 attacks 0_0 with 67130, killing 6 units
1_9 attacks 0_1 with 25905, killing 3 units
0_2 attacks 1_0 with 42960, killing 0 units
1_7 attacks 0_6 with 47362, killing 7 units
0_0 attacks 1_4 with 141966, killing 6 units
1_0 attacks 0_3 with 177480, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1340_6 attacks 1_5 with 81400, killing 1 units
1_8 attacks 0_8 with 20692, killing 1 units
1_1 attacks 0_2 with 183392, killing 20 units
0_4 attacks 1_3 with 142636, killing 3 units
0_8 attacks 1_9 with 36736, killing 2 units
0_1 attacks 1_7 with 104992, killing 3 units
1_5 attacks 0_9 with 160320, killing 22 units
0_3 attacks 1_0 with 68840, killing 1 units
0_9 attacks 1_8 with 21312, killing 1 units
1_3 attacks 0_0 with 66983, killing 6 units
1_9 attacks 0_1 with 25875, killing 3 units
0_2 attacks 1_6 with 42800, killing 0 units
1_7 attacks 0_6 with 47260, killing 7 units
0_0 attacks 1_1 with 70785, killing 1 units
1_0 attacks 0_3 with 177422, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1350_6 attacks 1_5 with 81120, killing 1 units
1_8 attacks 0_8 with 20688, killing 1 units
1_1 attacks 0_2 with 183348, killing 20 units
0_4 attacks 1_3 with 142220, killing 3 units
0_8 attacks 1_9 with 36408, killing 2 units
0_1 attacks 1_7 with 104944, killing 3 units
1_5 attacks 0_9 with 160260, killing 22 units
0_3 attacks 1_0 with 68660, killing 1 units
0_9 attacks 1_8 with 20960, killing 1 units
1_3 attacks 0_0 with 66836, killing 6 units
1_9 attacks 0_1 with 25845, killing 3 units
0_2 attacks 1_6 with 42640, killing 0 units
1_7 attacks 0_6 with 47158, killing 7 units
0_0 attacks 1_1 with 70587, killing 1 units
1_0 attacks 0_3 with 177364, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1360_6 attacks 1_5 with 80840, killing 1 units
1_8 attacks 0_8 with 20684, killing 1 units
1_1 attacks 0_2 with 183304, killing 20 units
0_4 attacks 1_3 with 141804, killing 3 units
0_8 attacks 1_9 with 36080, killing 2 units
0_1 attacks 1_7 with 104896, killing 3 units
1_5 attacks 0_9 with 160200, killing 22 units
0_3 attacks 1_0 with 68480, killing 1 units
0_9 attacks 1_8 with 20608, killing 1 units
1_3 attacks 0_0 with 66689, killing 6 units
1_9 attacks 0_1 with 25815, killing 3 units
0_2 attacks 1_6 with 42480, killing 0 units
1_7 attacks 0_6 with 47056, killing 7 units
0_0 attacks 1_1 with 70389, killing 1 units
1_0 attacks 0_3 with 177306, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1370_6 attacks 1_5 with 80560, killing 1 units
1_8 attacks 0_8 with 20680, killing 1 units
1_1 attacks 0_2 with 183260, killing 20 units
0_4 attacks 1_3 with 141388, killing 3 units
0_8 attacks 1_9 with 35752, killing 2 units
0_1 attacks 1_7 with 104848, killing 3 units
1_5 attacks 0_9 with 160140, killing 22 units
0_3 attacks 1_0 with 68300, killing 1 units
0_9 attacks 1_8 with 20256, killing 1 units
1_3 attacks 0_0 with 66542, killing 6 units
1_9 attacks 0_1 with 25785, killing 3 units
0_2 attacks 1_6 with 42320, killing 0 units
1_7 attacks 0_6 with 46954, killing 7 units
0_0 attacks 1_1 with 70191, killing 1 units
1_0 attacks 0_3 with 177248, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1380_6 attacks 1_5 with 80280, killing 1 units
1_8 attacks 0_8 with 20676, killing 1 units
1_1 attacks 0_2 with 183216, killing 20 units
0_4 attacks 1_3 with 140972, killing 3 units
0_8 attacks 1_9 with 35424, killing 2 units
0_1 attacks 1_7 with 104800, killing 3 units
1_5 attacks 0_9 with 160080, killing 22 units
0_3 attacks 1_0 with 68120, killing 1 units
0_9 attacks 1_8 with 19904, killing 1 units
1_3 attacks 0_0 with 66395, killing 6 units
1_9 attacks 0_1 with 25755, killing 3 units
0_2 attacks 1_6 with 42160, killing 0 units
1_7 attacks 0_6 with 46852, killing 7 units
0_0 attacks 1_1 with 69993, killing 1 units
1_0 attacks 0_3 with 177190, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1390_6 attacks 1_5 with 80000, killing 1 units
1_8 attacks 0_8 with 20672, killing 1 units
1_1 attacks 0_2 with 183172, killing 20 units
0_4 attacks 1_3 with 140556, killing 3 units
0_8 attacks 1_9 with 35096, killing 2 units
0_1 attacks 1_7 with 104752, killing 3 units
1_5 attacks 0_9 with 160020, killing 22 units
0_3 attacks 1_0 with 67940, killing 1 units
0_9 attacks 1_8 with 19552, killing 1 units
1_3 attacks 0_0 with 66248, killing 6 units
1_9 attacks 0_1 with 25725, killing 3 units
0_2 attacks 1_6 with 42000, killing 0 units
1_7 attacks 0_6 with 46750, killing 7 units
0_0 attacks 1_1 with 69795, killing 1 units
1_0 attacks 0_3 with 177132, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1400_6 attacks 1_5 with 79720, killing 1 units
1_8 attacks 0_8 with 20668, killing 1 units
1_1 attacks 0_2 with 183128, killing 20 units
0_4 attacks 1_3 with 140140, killing 3 units
0_8 attacks 1_9 with 34768, killing 2 units
0_1 attacks 1_7 with 104704, killing 3 units
1_5 attacks 0_9 with 159960, killing 22 units
0_3 attacks 1_0 with 67760, killing 1 units
0_9 attacks 1_8 with 19200, killing 1 units
1_3 attacks 0_0 with 66101, killing 6 units
1_9 attacks 0_1 with 25695, killing 3 units
0_2 attacks 1_6 with 41840, killing 0 units
1_7 attacks 0_6 with 46648, killing 7 units
0_0 attacks 1_1 with 69597, killing 1 units
1_0 attacks 0_3 with 177074, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1410_6 attacks 1_5 with 79440, killing 1 units
1_8 attacks 0_8 with 20664, killing 1 units
1_1 attacks 0_2 with 183084, killing 20 units
0_4 attacks 1_3 with 139724, killing 3 units
0_8 attacks 1_9 with 34440, killing 2 units
0_1 attacks 1_7 with 104656, killing 3 units
1_5 attacks 0_9 with 159900, killing 22 units
0_3 attacks 1_0 with 67580, killing 1 units
0_9 attacks 1_8 with 18848, killing 1 units
1_3 attacks 0_0 with 65954, killing 6 units
1_9 attacks 0_1 with 25665, killing 3 units
0_2 attacks 1_6 with 41680, killing 0 units
1_7 attacks 0_6 with 46546, killing 7 units
0_0 attacks 1_1 with 69399, killing 1 units
1_0 attacks 0_3 with 177016, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1420_6 attacks 1_5 with 79160, killing 1 units
1_8 attacks 0_8 with 20660, killing 1 units
1_1 attacks 0_2 with 183040, killing 20 units
0_4 attacks 1_3 with 139308, killing 3 units
0_8 attacks 1_9 with 34112, killing 2 units
0_1 attacks 1_7 with 104608, killing 3 units
1_5 attacks 0_9 with 159840, killing 22 units
0_3 attacks 1_0 with 67400, killing 1 units
0_9 attacks 1_8 with 18496, killing 1 units
1_3 attacks 0_0 with 65807, killing 6 units
1_9 attacks 0_1 with 25635, killing 3 units
0_2 attacks 1_6 with 41520, killing 0 units
1_7 attacks 0_6 with 46444, killing 7 units
0_0 attacks 1_1 with 69201, killing 1 units
1_0 attacks 0_3 with 176958, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1430_6 attacks 1_5 with 78880, killing 1 units
1_8 attacks 0_8 with 20656, killing 1 units
1_1 attacks 0_2 with 182996, killing 20 units
0_4 attacks 1_3 with 138892, killing 3 units
0_8 attacks 1_9 with 33784, killing 2 units
0_1 attacks 1_7 with 104560, killing 3 units
1_5 attacks 0_9 with 159780, killing 22 units
0_3 attacks 1_0 with 67220, killing 1 units
0_9 attacks 1_8 with 18144, killing 1 units
1_3 attacks 0_0 with 65660, killing 6 units
1_9 attacks 0_1 with 25605, killing 3 units
0_2 attacks 1_6 with 41360, killing 0 units
1_7 attacks 0_6 with 46342, killing 7 units
0_0 attacks 1_1 with 69003, killing 1 units
1_0 attacks 0_3 with 176900, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1440_6 attacks 1_5 with 78600, killing 1 units
1_8 attacks 0_8 with 20652, killing 1 units
1_1 attacks 0_2 with 182952, killing 20 units
0_4 attacks 1_3 with 138476, killing 3 units
0_8 attacks 1_9 with 33456, killing 2 units
0_1 attacks 1_7 with 104512, killing 3 units
1_5 attacks 0_9 with 159720, killing 22 units
0_3 attacks 1_0 with 67040, killing 1 units
0_9 attacks 1_8 with 17792, killing 1 units
1_3 attacks 0_0 with 65513, killing 6 units
1_9 attacks 0_1 with 25575, killing 3 units
0_2 attacks 1_6 with 41200, killing 0 units
1_7 attacks 0_6 with 46240, killing 7 units
0_0 attacks 1_1 with 68805, killing 1 units
1_0 attacks 0_3 with 176842, killing 18 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 1450_6 attacks 1_5 with 78320, killing 1 units
1_8 attacks 0_8 with 20648, killing 1 units
1_1 attacks 0_2 with 182908, killing 20 units
0_4 attacks 1_3 with 138060, killing 3 units
0_8 attacks 1_9 with 33128, killing 2 units
0_1 attacks 1_7 with 104464, killing 3 units
1_5 attacks 0_9 with 159660, killing 22 units
